42,01.03 00:00,128.008,0
42,01.03 01:00,124.852,0
42,01.03 02:00,148.019,0
42,01.03 03:00,151.543,0
42,01.03 04:00,148.224,0
42,01.03 05:00,146.137,0
42,01.03 06:00,148.756,0
42,01.03 07:00,153.134,0
42,01.03 08:00,175.404,0
42,01.03 09:00,193.123,0
42,01.03 10:00,201.954,0
42,01.03 11:00,205.534,0
42,01.03 12:00,210.438,0
42,01.03 13:00,215.246,0
42,01.03 14:00,215.962,0
42,01.03 15:00,218.378,0
42,01.03 16:00,216.942,0
42,01.03 17:00,200.51,0
42,01.03 18:00,183.746,0
42,01.03 19:00,181.354,0
42,01.03 20:00,179.14,0
42,01.03 21:00,162.773,0
42,01.03 22:00,160.985,0
42,01.03 23:00,156.223,0
42,02.03 00:00,132.524,0
42,02.03 01:00,126.476,0
42,02.03 02:00,147.97,0
42,02.03 03:00,151.101,0
42,02.03 04:00,149.524,0
42,02.03 05:00,146.905,0
42,02.03 06:00,158.72,0
42,02.03 07:00,159.72,0
42,02.03 08:00,180.559,0
42,02.03 09:00,194.051,0
42,02.03 10:00,203.161,0
42,02.03 11:00,208.974,0
42,02.03 12:00,212.951,0
42,02.03 13:00,221.087,0
42,02.03 14:00,221.325,0
42,02.03 15:00,222.623,0
42,02.03 16:00,224.692,0
42,02.03 17:00,209.448,0
42,02.03 18:00,191.389,0
42,02.03 19:00,191.387,0
42,02.03 20:00,181.77,0
42,02.03 21:00,169.146,0
42,02.03 22:00,164.874,0
42,02.03 23:00,159.489,0
42,03.03 00:00,135.143,0
42,03.03 01:00,128.596,0
42,03.03 02:00,150.212,0
42,03.03 03:00,152.959,0
42,03.03 04:00,150.338,0
42,03.03 05:00,148.797,0
42,03.03 06:00,152.008,0
42,03.03 07:00,154.429,0
42,03.03 08:00,181.25,0
42,03.03 09:00,194.834,0
42,03.03 10:00,204.702,0
42,03.03 11:00,210.182,0
42,03.03 12:00,214.692,0
42,03.03 13:00,215.167,0
42,03.03 14:00,224.108,0
42,03.03 15:00,216.842,0
42,03.03 16:00,215.405,0
42,03.03 17:00,199.327,0
42,03.03 18:00,186.3,0
42,03.03 19:00,183.143,0
42,03.03 20:00,180.3,0
42,03.03 21:00,168.327,0
42,03.03 22:00,162.37,0
42,03.03 23:00,157.444,0
42,04.03 00:00,135.241,0
42,04.03 01:00,128.196,0
42,04.03 02:00,151.051,0
42,04.03 03:00,153.19,0
42,04.03 04:00,149.635,0
42,04.03 05:00,147.875,0
42,04.03 06:00,151.176,0
42,04.03 07:00,154.438,0
42,04.03 08:00,177.664,0
42,04.03 09:00,195.539,0
42,04.03 10:00,197.866,0
42,04.03 11:00,207.403,0
42,04.03 12:00,205.659,0
42,04.03 13:00,216.581,0
42,04.03 14:00,220.9,0
42,04.03 15:00,223.18,0
42,04.03 16:00,219.023,0
42,04.03 17:00,200.458,0
42,04.03 18:00,185.49,0
42,04.03 19:00,181.242,0
42,04.03 20:00,177.78,0
42,04.03 21:00,177.069,0
42,04.03 22:00,161.801,0
42,04.03 23:00,159.13,0
42,05.03 00:00,135.007,0
42,05.03 01:00,127.798,0
42,05.03 02:00,147.79,0
42,05.03 03:00,151.657,0
42,05.03 04:00,147.957,0
42,05.03 05:00,149.306,0
42,05.03 06:00,147.703,0
42,05.03 07:00,140.566,0
42,05.03 08:00,138.296,0
42,05.03 09:00,149.453,0
42,05.03 10:00,154.107,0
42,05.03 11:00,155.897,0
42,05.03 12:00,158.181,0
42,05.03 13:00,165.074,0
42,05.03 14:00,161.149,0
42,05.03 15:00,160.064,0
42,05.03 16:00,155.397,0
42,05.03 17:00,151.497,0
42,05.03 18:00,148.147,0
42,05.03 19:00,154.559,0
42,05.03 20:00,152.492,0
42,05.03 21:00,151.544,0
42,05.03 22:00,151.08,0
42,05.03 23:00,150.855,0
42,06.03 00:00,130.555,0
42,06.03 01:00,124.642,0
42,06.03 02:00,146.954,0
42,06.03 03:00,148.428,0
42,06.03 04:00,147.619,0
42,06.03 05:00,148.44,0
42,06.03 06:00,144.014,0
42,06.03 07:00,138.639,0
42,06.03 08:00,134.331,0
42,06.03 09:00,133.153,0
42,06.03 10:00,144.613,0
42,06.03 11:00,148.513,0
