47,01.03 00:00,193.795
47,01.03 01:00,192.025
47,01.03 02:00,194.021
47,01.03 03:00,194.901
47,01.03 04:00,198.912
47,01.03 05:00,194.14
47,01.03 06:00,198.811
47,01.03 07:00,187.641
47,01.03 08:00,181.613
47,01.03 09:00,198.873
47,01.03 10:00,192.77
47,01.03 11:00,193.626
47,01.03 12:00,193.251
47,01.03 13:00,207.776
47,01.03 14:00,199.268
47,01.03 15:00,201.178
47,01.03 16:00,199.174
47,01.03 17:00,197.116
47,01.03 18:00,189.119
47,01.03 19:00,203.027
47,01.03 20:00,212.687
47,01.03 21:00,207.182
47,01.03 22:00,204.775
47,01.03 23:00,204.298
47,02.03 00:00,196.41
47,02.03 01:00,194.676
47,02.03 02:00,194.884
47,02.03 03:00,196.925
47,02.03 04:00,193.939
47,02.03 05:00,195.386
47,02.03 06:00,200.252
47,02.03 07:00,188.705
47,02.03 08:00,190.064
47,02.03 09:00,196.128
47,02.03 10:00,189.178
47,02.03 11:00,192.324
47,02.03 12:00,194.789
47,02.03 13:00,205.303
47,02.03 14:00,197.894
47,02.03 15:00,200.686
47,02.03 16:00,197.484
47,02.03 17:00,190.554
47,02.03 18:00,185.364
47,02.03 19:00,194.085
47,02.03 20:00,201.376
47,02.03 21:00,200.307
47,02.03 22:00,195.828
47,02.03 23:00,195.097
47,03.03 00:00,191.699
47,03.03 01:00,189.515
47,03.03 02:00,191.482
47,03.03 03:00,191.411
47,03.03 04:00,190.0
47,03.03 05:00,189.149
47,03.03 06:00,191.727
47,03.03 07:00,176.397
47,03.03 08:00,181.984
47,03.03 09:00,194.485
47,03.03 10:00,185.977
47,03.03 11:00,194.418
47,03.03 12:00,189.046
47,03.03 13:00,202.684
47,03.03 14:00,189.935
47,03.03 15:00,190.995
47,03.03 16:00,190.153
47,03.03 17:00,187.519
47,03.03 18:00,182.345
47,03.03 19:00,199.806
47,03.03 20:00,207.514
47,03.03 21:00,207.093
47,03.03 22:00,198.609
47,03.03 23:00,194.104
47,04.03 00:00,187.633
47,04.03 01:00,188.579
47,04.03 02:00,191.614
47,04.03 03:00,190.715
47,04.03 04:00,188.038
47,04.03 05:00,190.478
47,04.03 06:00,187.442
47,04.03 07:00,175.888
47,04.03 08:00,179.435
47,04.03 09:00,188.439
47,04.03 10:00,179.223
47,04.03 11:00,189.596
47,04.03 12:00,182.876
47,04.03 13:00,191.606
47,04.03 14:00,177.352
47,04.03 15:00,181.517
47,04.03 16:00,178.185
47,04.03 17:00,173.573
47,04.03 18:00,169.054
47,04.03 19:00,185.548
47,04.03 20:00,200.646
47,04.03 21:00,189.625
47,04.03 22:00,188.047
47,04.03 23:00,185.539
47,05.03 00:00,180.794
47,05.03 01:00,182.523
47,05.03 02:00,185.691
47,05.03 03:00,180.687
47,05.03 04:00,178.919
47,05.03 05:00,179.035
47,05.03 06:00,176.694
47,05.03 07:00,160.973
47,05.03 08:00,154.315
47,05.03 09:00,167.258
47,05.03 10:00,170.246
47,05.03 11:00,170.977
47,05.03 12:00,169.099
47,05.03 13:00,171.532
47,05.03 14:00,172.333
47,05.03 15:00,171.758
47,05.03 16:00,170.739
47,05.03 17:00,167.536
47,05.03 18:00,162.136
47,05.03 19:00,180.285
47,05.03 20:00,188.505
47,05.03 21:00,188.065
47,05.03 22:00,187.67
47,05.03 23:00,186.654
47,06.03 00:00,182.584
47,06.03 01:00,175.449
47,06.03 02:00,182.95
47,06.03 03:00,182.451
47,06.03 04:00,179.384
47,06.03 05:00,178.67
47,06.03 06:00,177.824
47,06.03 07:00,164.744
47,06.03 08:00,154.46
47,06.03 09:00,156.394
47,06.03 10:00,163.851
47,06.03 11:00,167.596
47,06.03 12:00,163.985
47,06.03 13:00,160.638
47,06.03 14:00,162.638
47,06.03 15:00,165.45
47,06.03 16:00,168.473
47,06.03 17:00,166.392
47,06.03 18:00,160.54
47,06.03 19:00,174.275
47,06.03 20:00,193.829
47,06.03 21:00,191.588
47,06.03 22:00,187.288
47,06.03 23:00,185.944
47,07.03 00:00,183.097
47,07.03 01:00,181.43
47,07.03 02:00,184.909
47,07.03 03:00,184.345
47,07.03 04:00,185.92
47,07.03 05:00,191.21
47,07.03 06:00,189.672
47,07.03 07:00,172.898
47,07.03 08:00,174.473
47,07.03 09:00,196.127
47,07.03 10:00,184.758
47,07.03 11:00,185.608
47,07.03 12:00,176.638
47,07.03 13:00,194.849
47,07.03 14:00,185.942
47,07.03 15:00,188.906
47,07.03 16:00,190.148
47,07.03 17:00,190.223
47,07.03 18:00,186.169
47,07.03 19:00,198.535
47,07.03 20:00,207.318
47,07.03 21:00,202.938
47,07.03 22:00,195.979
47,07.03 23:00,193.872
47,08.03 00:00,189.97
47,08.03 01:00,188.754
47,08.03 02:00,189.279
47,08.03 03:00,189.63
47,08.03 04:00,188.716
47,08.03 05:00,190.419
47,08.03 06:00,193.106
47,08.03 07:00,168.819
47,08.03 08:00,176.567
47,08.03 09:00,189.242
47,08.03 10:00,178.236
47,08.03 11:00,186.445
47,08.03 12:00,183.562
47,08.03 13:00,195.063
47,08.03 14:00,182.254
47,08.03 15:00,191.153
47,08.03 16:00,191.301
47,08.03 17:00,189.075
47,08.03 18:00,186.037
47,08.03 19:00,194.593
47,08.03 20:00,205.236
47,08.03 21:00,205.857
47,08.03 22:00,202.218
47,08.03 23:00,198.043
47,09.03 00:00,191.678
47,09.03 01:00,188.726
47,09.03 02:00,187.431
47,09.03 03:00,187.857
47,09.03 04:00,187.999
47,09.03 05:00,187.765
47,09.03 06:00,185.285
47,09.03 07:00,166.829
47,09.03 08:00,170.935
47,09.03 09:00,187.499
47,09.03 10:00,177.369
47,09.03 11:00,179.647
47,09.03 12:00,181.333
47,09.03 13:00,202.346
47,09.03 14:00,190.39
47,09.03 15:00,193.613
47,09.03 16:00,194.646
47,09.03 17:00,193.235
47,09.03 18:00,189.588
47,09.03 19:00,195.229
47,09.03 20:00,209.836
47,09.03 21:00,208.536
47,09.03 22:00,200.473
47,09.03 23:00,200.654
47,10.03 00:00,195.308
47,10.03 01:00,194.821
47,10.03 02:00,195.468
47,10.03 03:00,196.225
47,10.03 04:00,196.442
47,10.03 05:00,192.605
47,10.03 06:00,192.529
47,10.03 07:00,174.778
47,10.03 08:00,181.531
47,10.03 09:00,194.783
47,10.03 10:00,199.689
47,10.03 11:00,193.414
47,10.03 12:00,199.49
47,10.03 13:00,204.809
47,10.03 14:00,196.614
47,10.03 15:00,197.653
47,10.03 16:00,196.005
47,10.03 17:00,198.863
47,10.03 18:00,203.658
47,10.03 19:00,221.415
47,10.03 20:00,231.034
47,10.03 21:00,234.71
47,10.03 22:00,227.424
47,10.03 23:00,226.116
47,11.03 00:00,225.605
47,11.03 01:00,222.106
47,11.03 02:00,220.713
47,11.03 03:00,220.969
47,11.03 04:00,217.145
47,11.03 05:00,216.288
47,11.03 06:00,220.665
47,11.03 07:00,206.06
47,11.03 08:00,213.523
47,11.03 09:00,217.407
47,11.03 10:00,208.305
47,11.03 11:00,216.829
47,11.03 12:00,209.218
47,11.03 13:00,221.502
47,11.03 14:00,213.534
47,11.03 15:00,210.905
47,11.03 16:00,206.484
47,11.03 17:00,202.054
47,11.03 18:00,197.805
47,11.03 19:00,208.231
47,11.03 20:00,225.649
47,11.03 21:00,222.277
47,11.03 22:00,219.762
47,11.03 23:00,216.708
47,12.03 00:00,212.066
47,12.03 01:00,206.623
47,12.03 02:00,205.747
47,12.03 03:00,206.848
47,12.03 04:00,205.797
47,12.03 05:00,203.623
47,12.03 06:00,199.972
47,12.03 07:00,178.329
47,12.03 08:00,184.056
47,12.03 09:00,185.442
47,12.03 10:00,193.782
47,12.03 11:00,187.812
47,12.03 12:00,183.598
47,12.03 13:00,183.345
47,12.03 14:00,185.756
47,12.03 15:00,186.555
47,12.03 16:00,186.292
47,12.03 17:00,184.067
47,12.03 18:00,180.387
47,12.03 19:00,195.757
47,12.03 20:00,196.163
47,12.03 21:00,188.566
47,12.03 22:00,187.35
47,12.03 23:00,182.959
47,13.03 00:00,181.131
47,13.03 01:00,183.423
47,13.03 03:00,183.41
47,13.03 04:00,182.425
47,13.03 05:00,184.535
47,13.03 06:00,183.248
47,13.03 07:00,170.612
47,13.03 08:00,170.454
47,13.03 09:00,177.402
47,13.03 10:00,181.715
47,13.03 11:00,178.572
47,13.03 12:00,173.832
47,13.03 13:00,170.886
47,13.03 14:00,177.25
47,13.03 15:00,176.408
47,13.03 16:00,172.806
47,13.03 17:00,171.677
47,13.03 18:00,170.794
47,13.03 19:00,186.497
47,13.03 20:00,193.839
47,13.03 21:00,188.472
47,13.03 22:00,188.079
47,13.03 23:00,184.144
47,14.03 00:00,182.755
47,14.03 01:00,182.835
47,14.03 02:00,181.661
47,14.03 03:00,181.291
47,14.03 04:00,184.07
47,14.03 05:00,183.037
47,14.03 06:00,190.629
47,14.03 07:00,182.587
47,14.03 08:00,190.582
47,14.03 09:00,186.924
47,14.03 10:00,186.708
47,14.03 11:00,192.921
47,14.03 12:00,202.019
47,14.03 13:00,188.168
47,14.03 14:00,187.675
47,14.03 15:00,185.405
47,14.03 16:00,182.513
47,14.03 17:00,180.542
47,14.03 18:00,178.102
47,14.03 19:00,184.713
47,14.03 20:00,195.237
47,14.03 21:00,191.74
47,14.03 22:00,189.245
47,14.03 23:00,188.963
47,15.03 00:00,191.395
47,15.03 01:00,187.621
47,15.03 02:00,188.074
47,15.03 03:00,187.053
47,15.03 04:00,187.839
47,15.03 05:00,192.561
47,15.03 06:00,195.24
47,15.03 07:00,182.611
47,15.03 08:00,193.447
47,15.03 09:00,187.083
47,15.03 10:00,183.565
47,15.03 11:00,190.574
47,15.03 12:00,200.945
47,15.03 13:00,190.635
47,15.03 14:00,189.875
47,15.03 15:00,196.736
47,15.03 16:00,189.415
47,15.03 17:00,190.944
47,15.03 18:00,189.044
47,15.03 19:00,195.781
47,15.03 20:00,214.655
47,15.03 21:00,205.045
47,15.03 22:00,201.303
47,15.03 23:00,194.305
47,16.03 00:00,194.92
47,16.03 01:00,195.988
47,16.03 02:00,193.64
47,16.03 03:00,193.077
47,16.03 04:00,191.337
47,16.03 05:00,193.349
47,16.03 06:00,197.348
47,16.03 07:00,177.626
47,16.03 08:00,189.709
47,16.03 09:00,193.874
47,16.03 10:00,198.811
47,16.03 11:00,197.793
47,16.03 12:00,211.72
47,16.03 13:00,196.911
47,16.03 14:00,207.294
47,16.03 15:00,217.679
47,16.03 16:00,216.615
47,16.03 17:00,214.705
47,16.03 18:00,213.03
47,16.03 19:00,218.661
47,16.03 20:00,237.243
47,16.03 21:00,229.297
47,16.03 22:00,227.342
47,16.03 23:00,224.148
47,17.03 00:00,219.691
47,17.03 01:00,219.902
47,17.03 02:00,218.072
47,17.03 03:00,214.562
47,17.03 04:00,214.808
47,17.03 05:00,211.851
47,17.03 06:00,212.094
47,17.03 07:00,186.225
47,17.03 08:00,186.878
47,17.03 09:00,180.737
47,17.03 10:00,197.548
47,17.03 11:00,187.372
47,17.03 12:00,198.217
47,17.03 13:00,200.259
47,17.03 14:00,198.355
47,17.03 15:00,197.176
47,17.03 16:00,188.18
47,17.03 17:00,191.844
47,17.03 18:00,184.953
47,17.03 19:00,193.382
47,17.03 20:00,204.638
47,17.03 21:00,201.743
47,17.03 22:00,199.345
47,17.03 23:00,196.681
47,18.03 00:00,195.031
47,18.03 01:00,196.521
47,18.03 02:00,196.101
47,18.03 03:00,194.949
47,18.03 04:00,191.454
47,18.03 05:00,190.615
47,18.03 06:00,198.02
47,18.03 07:00,196.713
47,18.03 08:00,208.665
47,18.03 09:00,194.264
47,18.03 10:00,196.162
47,18.03 11:00,196.447
47,18.03 12:00,206.805
47,18.03 13:00,204.506
47,18.03 14:00,208.51
47,18.03 15:00,209.206
47,18.03 16:00,203.754
47,18.03 17:00,200.449
47,18.03 18:00,195.702
47,18.03 19:00,201.782
47,18.03 20:00,211.964
47,18.03 21:00,206.003
47,18.03 22:00,206.08
47,18.03 23:00,202.154
47,19.03 00:00,201.297
47,19.03 01:00,201.489
47,19.03 02:00,187.733
47,19.03 03:00,178.337
47,19.03 04:00,177.277
47,19.03 05:00,174.117
